Source DB,Source Coll,Doc Count,Avg Doc Size,Target DB,Target Coll,Raw mongoexport Blob,Raw Blob Doc Count,Wrangled ADF Blob,ADF Blob Doc Count,ADF Dataset Name,ADF Pipeline Name
olympics,countries,230,69,olympics,locations,olympics-raw/olympics__countries__source.json,-1,olympics-adf/olympics__countries__wrangled.json,-1,blob__olympics__countries,pipeline_copy_to_olympics_locations
olympics,g1896_summer,380,323,olympics,games,olympics-raw/olympics__g1896_summer__source.json,-1,olympics-adf/olympics__g1896_summer__wrangled.json,-1,blob__olympics__g1896_summer,pipeline_copy_to_olympics_games
olympics,g1900_summer,1936,320,olympics,games,olympics-raw/olympics__g1900_summer__source.json,-1,olympics-adf/olympics__g1900_summer__wrangled.json,-1,blob__olympics__g1900_summer,pipeline_copy_to_olympics_games
olympics,g1904_summer,1301,334,olympics,games,olympics-raw/olympics__g1904_summer__source.json,-1,olympics-adf/olympics__g1904_summer__wrangled.json,-1,blob__olympics__g1904_summer,pipeline_copy_to_olympics_games
olympics,g1906_summer,1733,326,olympics,games,olympics-raw/olympics__g1906_summer__source.json,-1,olympics-adf/olympics__g1906_summer__wrangled.json,-1,blob__olympics__g1906_summer,pipeline_copy_to_olympics_games
olympics,g1908_summer,3101,324,olympics,games,olympics-raw/olympics__g1908_summer__source.json,-1,olympics-adf/olympics__g1908_summer__wrangled.json,-1,blob__olympics__g1908_summer,pipeline_copy_to_olympics_games
olympics,g1912_summer,4040,329,olympics,games,olympics-raw/olympics__g1912_summer__source.json,-1,olympics-adf/olympics__g1912_summer__wrangled.json,-1,blob__olympics__g1912_summer,pipeline_copy_to_olympics_games
olympics,g1920_summer,4292,328,olympics,games,olympics-raw/olympics__g1920_summer__source.json,-1,olympics-adf/olympics__g1920_summer__wrangled.json,-1,blob__olympics__g1920_summer,pipeline_copy_to_olympics_games
olympics,g1924_summer,5233,320,olympics,games,olympics-raw/olympics__g1924_summer__source.json,-1,olympics-adf/olympics__g1924_summer__wrangled.json,-1,blob__olympics__g1924_summer,pipeline_copy_to_olympics_games
olympics,g1924_winter,460,330,olympics,games,olympics-raw/olympics__g1924_winter__source.json,-1,olympics-adf/olympics__g1924_winter__wrangled.json,-1,blob__olympics__g1924_winter,pipeline_copy_to_olympics_games
olympics,g1928_summer,4992,328,olympics,games,olympics-raw/olympics__g1928_summer__source.json,-1,olympics-adf/olympics__g1928_summer__wrangled.json,-1,blob__olympics__g1928_summer,pipeline_copy_to_olympics_games
olympics,g1928_winter,582,331,olympics,games,olympics-raw/olympics__g1928_winter__source.json,-1,olympics-adf/olympics__g1928_winter__wrangled.json,-1,blob__olympics__g1928_winter,pipeline_copy_to_olympics_games
olympics,g1932_summer,2969,336,olympics,games,olympics-raw/olympics__g1932_summer__source.json,-1,olympics-adf/olympics__g1932_summer__wrangled.json,-1,blob__olympics__g1932_summer,pipeline_copy_to_olympics_games
olympics,g1932_winter,352,334,olympics,games,olympics-raw/olympics__g1932_winter__source.json,-1,olympics-adf/olympics__g1932_winter__wrangled.json,-1,blob__olympics__g1932_winter,pipeline_copy_to_olympics_games
olympics,g1936_summer,6506,322,olympics,games,olympics-raw/olympics__g1936_summer__source.json,-1,olympics-adf/olympics__g1936_summer__wrangled.json,-1,blob__olympics__g1936_summer,pipeline_copy_to_olympics_games
olympics,g1936_winter,895,341,olympics,games,olympics-raw/olympics__g1936_winter__source.json,-1,olympics-adf/olympics__g1936_winter__wrangled.json,-1,blob__olympics__g1936_winter,pipeline_copy_to_olympics_games
olympics,g1948_summer,6405,322,olympics,games,olympics-raw/olympics__g1948_summer__source.json,-1,olympics-adf/olympics__g1948_summer__wrangled.json,-1,blob__olympics__g1948_summer,pipeline_copy_to_olympics_games
